timestamp,temperature_c,humidity_percent,device_id,room_id,status
2026-03-13 10:00:00,28,83,DHT11_01,room_3,anomaly
2026-03-13 10:00:01,22,46,DHT11_01,room_3,normal
2026-03-13 10:00:02,25,70,DHT11_01,room_3,normal
2026-03-13 10:00:03,27,53,DHT11_01,room_3,normal
2026-03-13 10:00:04,31,56,DHT11_01,room_3,normal
2026-03-13 10:00:05,26,63,DHT11_01,room_3,normal
2026-03-13 10:00:06,30,55,DHT11_01,room_3,normal
2026-03-13 10:00:07,28,47,DHT11_01,room_3,normal
2026-03-13 10:00:08,31,56,DHT11_01,room_3,normal
2026-03-13 10:00:09,25,44,DHT11_01,room_3,normal
2026-03-13 10:00:10,30,50,DHT11_01,room_3,normal
2026-03-13 10:00:11,30,40,DHT11_01,room_3,normal
2026-03-13 10:00:12,28,44,DHT11_01,room_3,normal
2026-03-13 10:00:13,32,52,DHT11_01,room_3,normal
2026-03-13 10:00:14,29,45,DHT11_01,room_3,normal
2026-03-13 10:00:15,25,42,DHT11_01,room_3,normal
2026-03-13 10:00:16,36,39,DHT11_01,room_3,anomaly
2026-03-13 10:00:17,29,68,DHT11_01,room_3,normal
2026-03-13 10:00:18,27,57,DHT11_01,room_3,normal
2026-03-13 10:00:19,22,64,DHT11_01,room_3,normal
2026-03-13 10:00:20,28,64,DHT11_01,room_3,normal
2026-03-13 10:00:21,31,42,DHT11_01,room_3,normal
2026-03-13 10:00:22,23,41,DHT11_01,room_3,normal
2026-03-13 10:00:23,29,60,DHT11_01,room_3,normal
2026-03-13 10:00:24,28,66,DHT11_01,room_3,normal
2026-03-13 10:00:25,28,43,DHT11_01,room_3,normal
2026-03-13 10:00:26,23,66,DHT11_01,room_3,normal
2026-03-13 10:00:27,32,55,DHT11_01,room_3,normal
2026-03-13 10:00:28,30,62,DHT11_01,room_3,normal
2026-03-13 10:00:29,27,64,DHT11_01,room_3,normal
2026-03-13 10:00:30,31,70,DHT11_01,room_3,normal
2026-03-13 10:00:31,29,54,DHT11_01,room_3,normal
2026-03-13 10:00:32,31,51,DHT11_01,room_3,normal
2026-03-13 10:00:33,27,40,DHT11_01,room_3,normal
2026-03-13 10:00:34,29,51,DHT11_01,room_3,normal
2026-03-13 10:00:35,22,58,DHT11_01,room_3,normal
