timestamp,sensor_id,temperature,humidity
2026-03-01 00:00:00,sensor_1,22.69,49.03
2026-03-01 00:00:10,sensor_3,24.27,69.54
2026-03-01 00:00:20,sensor_2,26.17,50.56
2026-03-01 00:00:30,sensor_1,26.29,46.42
2026-03-01 00:00:40,sensor_3,26.25,48.3
2026-03-01 00:00:50,sensor_1,26.3,66.86
2026-03-01 00:01:00,sensor_3,28.3,59.56
2026-03-01 00:01:10,sensor_1,28.28,41.5
2026-03-01 00:01:20,sensor_3,31.62,66.9
2026-03-01 00:01:30,sensor_1,24.41,51.74
2026-03-01 00:01:40,sensor_1,27.73,46.93
2026-03-01 00:01:50,sensor_3,27.87,47.99
2026-03-01 00:02:00,sensor_1,27.0,57.09
2026-03-01 00:02:10,sensor_2,28.37,61.99
2026-03-01 00:02:20,sensor_1,33.76,62.64
2026-03-01 00:02:30,sensor_1,27.1,53.61
2026-03-01 00:02:40,sensor_3,27.03,59.66
2026-03-01 00:02:50,sensor_2,28.1,45.75
2026-03-01 00:03:00,sensor_1,23.66,51.04
2026-03-01 00:03:10,sensor_2,28.4,46.6
2026-03-01 00:03:20,sensor_1,28.3,57.23
2026-03-01 00:03:30,sensor_2,26.0,47.45
2026-03-01 00:03:40,sensor_2,32.13,51.31
2026-03-01 00:03:50,sensor_2,27.05,53.95
2026-03-01 00:04:00,sensor_1,29.3,55.63
2026-03-01 00:04:10,sensor_3,28.52,55.49
2026-03-01 00:04:20,sensor_2,25.72,55.79
2026-03-01 00:04:30,sensor_1,28.4,74.68
2026-03-01 00:04:40,sensor_2,26.59,62.29
2026-03-01 00:04:50,sensor_3,26.07,53.58
2026-03-01 00:05:00,sensor_3,25.61,63.23
2026-03-01 00:05:10,sensor_3,31.05,55.95
2026-03-01 00:05:20,sensor_1,22.8,65.05
2026-03-01 00:05:30,sensor_1,24.36,54.45
2026-03-01 00:05:40,sensor_1,26.81,73.26
2026-03-01 00:05:50,sensor_1,28.17,53.86
2026-03-01 00:06:00,sensor_2,26.3,68.08
2026-03-01 00:06:10,sensor_2,24.52,47.08
2026-03-01 00:06:20,sensor_3,27.79,56.49
2026-03-01 00:06:30,sensor_3,27.5,51.71
2026-03-01 00:06:40,sensor_3,25.82,61.47
2026-03-01 00:06:50,sensor_2,27.93,52.72
2026-03-01 00:07:00,sensor_2,25.13,49.77
2026-03-01 00:07:10,sensor_1,29.09,59.99
2026-03-01 00:07:20,sensor_3,30.66,51.61
2026-03-01 00:07:30,sensor_1,28.48,61.35
2026-03-01 00:07:40,sensor_1,22.51,56.79
2026-03-01 00:07:50,sensor_1,29.77,63.72
2026-03-01 00:08:00,sensor_3,26.14,51.62
2026-03-01 00:08:10,sensor_3,24.7,62.15
2026-03-01 00:08:20,sensor_1,24.51,48.37
2026-03-01 00:08:30,sensor_3,23.74,58.31
2026-03-01 00:08:40,sensor_2,24.23,63.3
2026-03-01 00:08:50,sensor_3,24.94,52.79
2026-03-01 00:09:00,sensor_2,26.93,59.83
2026-03-01 00:09:10,sensor_2,26.92,45.31
2026-03-01 00:09:20,sensor_3,27.68,43.17
2026-03-01 00:09:30,sensor_2,25.56,61.49
2026-03-01 00:09:40,sensor_3,24.37,41.25
2026-03-01 00:09:50,sensor_3,27.74,57.34
2026-03-01 00:10:00,sensor_3,29.44,40.02
2026-03-01 00:10:10,sensor_2,27.72,54.13
2026-03-01 00:10:20,sensor_1,29.53,51.2
2026-03-01 00:10:30,sensor_2,27.38,61.03
2026-03-01 00:10:40,sensor_2,30.61,41.89
2026-03-01 00:10:50,sensor_3,23.5,52.76
2026-03-01 00:11:00,sensor_2,23.76,46.36
2026-03-01 00:11:10,sensor_2,29.46,58.3
2026-03-01 00:11:20,sensor_3,27.97,49.7
2026-03-01 00:11:30,sensor_1,29.05,51.38
2026-03-01 00:11:40,sensor_2,24.78,55.99
2026-03-01 00:11:50,sensor_3,26.9,57.23
2026-03-01 00:12:00,sensor_3,27.29,66.77
2026-03-01 00:12:10,sensor_2,26.83,51.17
2026-03-01 00:12:20,sensor_3,23.34,44.35
2026-03-01 00:12:30,sensor_1,26.64,44.89
2026-03-01 00:12:40,sensor_3,27.46,49.96
2026-03-01 00:12:50,sensor_2,26.16,59.61
2026-03-01 00:13:00,sensor_2,25.79,60.02
2026-03-01 00:13:10,sensor_1,25.8,41.72
2026-03-01 00:13:20,sensor_1,25.57,64.83
2026-03-01 00:13:30,sensor_3,27.12,65.85
2026-03-01 00:13:40,sensor_2,27.74,62.48
2026-03-01 00:13:50,sensor_1,26.85,58.23
2026-03-01 00:14:00,sensor_2,26.8,42.72
2026-03-01 00:14:10,sensor_2,26.59,55.91
2026-03-01 00:14:20,sensor_2,26.55,52.21
2026-03-01 00:14:30,sensor_3,25.95,54.93
2026-03-01 00:14:40,sensor_2,26.65,49.53
2026-03-01 00:14:50,sensor_1,27.36,55.15
2026-03-01 00:15:00,sensor_3,25.2,49.05
2026-03-01 00:15:10,sensor_2,29.42,51.46
2026-03-01 00:15:20,sensor_2,24.42,62.79
2026-03-01 00:15:30,sensor_2,28.18,46.02
2026-03-01 00:15:40,sensor_1,26.0,55.53
2026-03-01 00:15:50,sensor_3,28.68,59.8
2026-03-01 00:16:00,sensor_3,27.37,59.39
2026-03-01 00:16:10,sensor_2,28.78,57.46
2026-03-01 00:16:20,sensor_1,27.38,43.56
2026-03-01 00:16:30,sensor_2,28.25,63.34
2026-03-01 00:16:40,sensor_2,26.71,45.53
2026-03-01 00:16:50,sensor_3,30.39,49.09
2026-03-01 00:17:00,sensor_2,30.51,64.74
2026-03-01 00:17:10,sensor_3,28.7,75.77
2026-03-01 00:17:20,sensor_3,27.08,62.35
2026-03-01 00:17:30,sensor_3,26.51,70.37
2026-03-01 00:17:40,sensor_3,25.58,67.3
2026-03-01 00:17:50,sensor_3,23.63,48.38
2026-03-01 00:18:00,sensor_2,23.29,51.55
2026-03-01 00:18:10,sensor_2,26.83,63.58
2026-03-01 00:18:20,sensor_3,25.51,55.27
2026-03-01 00:18:30,sensor_1,21.69,41.59
2026-03-01 00:18:40,sensor_1,28.31,73.89
2026-03-01 00:18:50,sensor_2,26.07,51.2
2026-03-01 00:19:00,sensor_2,25.12,63.21
2026-03-01 00:19:10,sensor_1,23.8,52.74
